Method,0,1,2
velocyto,0.760382,0.56819266,0.5611126
scvelo_dyn,0.8534271,0.6360119,0.7367061
scvelo_stc,0.78750277,0.597943,0.5400684
veloae,0.52151567,0.5034661,0.37118545
dynamo_m1,0.6949692,0.61878043,0.6120481
unitvelo_ind,0.71978825,0.33007252,0.587019
unitvelo_uni,0.82100344,0.6398997,-0.8888611
velovae_std,0.81816274,0.24699686,0.87569976
velovae_fullvb,0.86582655,-0.31177548,0.827445
deepvelo,0.5880275,-0.026647687,0.574415
celldancer,0.52197665,0.2382934,0.547942
pyrovelocity_m1,0.85609007,0.61680573,0.87105995
pyrovelocity_m2,-0.8515725,-0.5848296,-0.8876098
kvelo,0.42653355,0.41876695,0.47397006
velovi,0.71931934,0.19044988,0.84341526
sdevelo,-0.3690028,-0.27344978,-0.5714894
cell2fate,-0.017415384,-0.0842191,0.20487297
svelvetvae,0.8417097,0.61110723,0.7950911
latentvelo_std,0.75640625,0.6507662,0.8130961
tivelo_std,0.7281659,0.5303235,0.5926037
tivelo_simple,0.70176405,0.5087545,0.5929236
sctour_mse,0.85832,0.60684603,0.8965203
sctour_nb,0.8426283,0.58252543,0.8880558
sctour_zinb,0.86318666,0.6018532,0.9049401
graphvelo_std,0.85074025,0.53884107,0.85018617
