genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,350.2377593,10772.93266,success
5000,,,running
5000,821.7799177,14895.27677,success
10000,,,running
10000,1480.705186,28612.01865,success
15000,,,running
15000,2270.069685,32558.14317,success
20000,,,running
20000,3127.803691,41579.8507,success
1000,399.9573392,8540.941782,success
