genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,616.3458767,269.0019531,success
5000,,,running
5000,642.3297462,660.1503906,success
10000,,,running
10000,712.836259,1302.370605,success
15000,,,running
15000,796.369708,1901.602539,success
20000,,,running
20000,875.3669393,2529.154785,success
1000,566.8960227,146.1191406,success
