genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,1146.827508,828.625,success
5000,,,running
5000,1333.755412,2017.947266,success
10000,,,running
10000,2801.369203,4020.25293,success
15000,,,running
15000,4319.050132,6008.592773,success
20000,,,running
20000,5456.377539,8000.388672,success
1000,934.5471225,421.6494141,success
