genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,4.788929063,1711.527656,success
5000,,,running
5000,8.85069069,4263.878692,success
10000,,,running
10000,18.83337,8518.029299,success
15000,,,running
15000,25.36160987,12772.19557,success
20000,,,running
20000,31.07465668,17026.17692,success
1000,6.074821464,860.6720123,success
