genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,500.7278972,12354.04317,success
5000,,,running
5000,575.1810032,17800.66005,success
10000,,,running
10000,741.6385888,31649.60192,success
15000,,,running
15000,886.3548235,47461.21629,success
20000,,,running
20000,1065.892168,63272.87492,success
1000,313.8586417,6213.939635,success
