genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,1006.035998,2895.868652,success
5000,,,running
5000,1249.836191,3600.102051,success
10000,,,running
10000,1648.669228,4774.511719,success
15000,,,running
15000,2070.034307,5939.620605,success
20000,,,running
20000,2452.332821,7196.803711,success
1000,1036.082904,2661.845703,success
