Method,0,1,2,3,4
velocyto,0.657078552,0.628883893,0.617800568,0.646704969,0.64989795
scvelo_stc,0.756572426,0.730947941,0.709809283,0.740272425,0.726573436
velovae_std,0.599432423,0.56463354,0.585948567,0.614235458,0.621583008
velovae_fullvb,0.76644171,0.724818217,0.642834561,0.71636442,0.704646723
deepvelo,0.655499455,0.652431131,0.616564942,0.689545109,0.627388041
velovi,0.744471802,0.738141917,0.709689818,0.741160031,0.731578866
sdevelo,0.615755455,0.61811566,0.638958658,0.651095438,0.619291258
sctour_mse,0.834081742,0.875964435,0.815218176,0.899105394,0.489696309
sctour_nb,0.933549541,0.907836919,0.922028818,0.899939739,0.932984132
sctour_zinb,0.924627569,0.934307559,0.914201401,0.900310656,0.924693144
