Method,0,1,2
velocyto,0.2658408,0.28028405,0.24790177
scvelo_dyn,0.42686746,0.49936262,0.43996668
scvelo_stc,0.21043251,0.22435571,0.21530181
veloae,0.10103204,0.112174526,0.13402478
dynamo_m1,0.20420685,0.20285033,0.21463114
unitvelo_ind,0.27244028,0.24050744,0.30708334
unitvelo_uni,0.27440652,0.28202754,0.28833097
velovae_std,0.4408609,0.39656773,0.44121957
velovae_fullvb,0.34644037,0.40981156,0.34666252
deepvelo,0.26540738,0.24185687,0.27847227
celldancer,0.58510685,0.5477308,0.56584984
pyrovelocity_m1,0.35826296,0.30248395,0.3535478
pyrovelocity_m2,0.4779145,0.46565002,0.4715395
kvelo,0.39959446,0.40970537,0.458417
velovi,0.2792518,0.30408865,0.26373267
sdevelo,0.5165773,0.5158169,0.507027
cell2fate,0.28033933,0.34790882,0.4277106
svelvetvae,0.23738271,0.32080635,0.2257219
latentvelo_std,0.16614656,0.2072261,0.19861431
tivelo_std,0.14617082,0.15929924,0.20032494
tivelo_simple,0.095236115,0.09955801,0.10626291
sctour_mse,0.15384725,0.0932674,0.13145421
sctour_nb,0.11748071,0.11599945,0.10104641
sctour_zinb,0.1150041,0.11433289,0.12492075
graphvelo_std,0.204088,0.20688772,0.21591629
