Method,mean_1,std_1,mean_2,std_2,rank
cell2fate,0.48681836525445765,0.14671985221361364,0.7295591149697568,0.12491870320123913,24.0
celldancer,0.5756457043112793,0.15525508589925852,0.6056136021788916,0.21266499673350753,17.0
deepvelo,0.5259162753048794,0.09991836223206144,0.7739801057808791,0.06437090858475132,12.0
dynamo_m1,0.5131752903377683,0.1524138003757804,0.7023996750166093,0.08389287217343816,22.0
graphvelo_std,0.539373005771145,0.16427791614081497,0.6529482809955351,0.09850216251440275,21.0
kvelo,0.5000916217070781,0.12629547641034722,0.5517924421966847,0.09657078901399109,25.0
latentvelo_std,0.5961981785011614,0.13784580529682247,0.8805220600689184,0.026879144520806194,1.0
pyrovelocity_m1,0.5194150054610035,0.2174106752748718,0.7882616967788033,0.09103116366171249,12.0
pyrovelocity_m2,0.545709397293423,0.17305420298874216,0.8213101438768765,0.05713068730683002,5.0
sctour_mse,0.54486019007245,0.14279326426627736,0.7731006913794929,0.11225817612708944,10.0
sctour_nb,0.5221282661484772,0.14892694092262132,0.8356724292008805,0.06676737838242598,7.0
sctour_zinb,0.5188568133715454,0.13981850599679774,0.8627331378756649,0.06284341715284002,7.0
scvelo_dyn,0.5138222160083683,0.18136190608326752,0.7403205594243946,0.07445716768290914,19.0
scvelo_stc,0.5798642351074423,0.17519183572215868,0.6672225505679398,0.139196147385543,14.0
sdevelo,0.5132498910167952,0.1667752162875593,0.7645516058200692,0.0731856830499607,19.0
svelvetvae,0.5986314383439364,0.08332003021542224,0.7033062975803166,0.06678008142303653,7.0
tivelo_simple,0.5589381036487018,0.11404794677461005,0.6396742557250397,0.039288149730907475,17.0
tivelo_std,0.5746984892374756,0.12363509615867085,0.7321648130262084,0.04637895437595579,10.0
unitvelo_ind,0.6260508362624899,0.16336676582106135,0.7804990731113917,0.11406029299367595,3.0
unitvelo_uni,0.584781681477612,0.12923870153954078,0.8604325704526323,0.07682279321381927,2.0
veloae,0.5529230382307107,0.2027410441436867,0.8204687750804114,0.04952441396837137,5.0
velocyto,0.5849097784314485,0.16619418730074476,0.623267089290363,0.12652813067834925,15.0
velovae_fullvb,0.49629667007693623,0.17946562268626443,0.8334024247095064,0.06648737431109247,15.0
velovae_std,0.47823575327539425,0.13570520903061128,0.7369227309227966,0.09580909790673779,22.0
velovi,0.5978419960937488,0.1821988786882863,0.8077670961818324,0.054152026022983954,3.0
