Method,mean_1,std_1,mean_2,std_2,rank
cell2fate,0.48594838924900197,0.059776708524995614,0.5377254488283376,0.193266932407562,15.0
celldancer,0.571892744964263,0.05241301443135935,0.7033965504016113,0.103706576704646,1.0
deepvelo,0.5700472350628968,0.08956339066843164,0.6612960503074363,0.180557458966097,4.0
dynamo_m1,0.5350449707268672,0.06018938108033354,0.5975478629571176,0.21172468287911533,8.0
graphvelo_std,0.5020413430413543,0.11198240636675524,0.5045902016494466,0.23514226458540044,18.0
kvelo,0.45627596195537173,0.0826721894945409,0.346910206865715,0.2846659414207468,20.0
latentvelo_std,0.5209620348844661,0.11605357427337797,0.4797222257965231,0.31427648403423747,14.0
pyrovelocity_m1,0.4539147845950076,0.14169144898799038,0.447413395389504,0.33286283552519214,19.0
pyrovelocity_m2,0.5445966298642617,0.11822733153839814,0.5539931305256701,0.33309540500205165,10.0
sctour_mse,0.3502251392614088,0.0847349214682234,0.46393508856071153,0.17456905542019321,22.0
sctour_nb,0.5398047356849908,0.09436725764551772,0.5790953748328918,0.31238822795802657,8.0
sctour_zinb,0.5574124440747547,0.1108026245218232,0.5860500486108761,0.31014377111690494,5.0
scvelo_dyn,0.4463701069521594,0.09091558335479114,0.40196472740266503,0.18509964279268137,20.0
scvelo_stc,0.5194054490643298,0.12739679794351155,0.5495038682714869,0.2603534355207631,12.0
sdevelo,0.570880004054245,0.03363713875034741,0.7481998259666275,0.22394752317069855,2.0
svelvetvae,0.5352259221934856,0.14248269151332063,0.6350212892180779,0.2627839995714467,6.0
tivelo_std,0.5478460678858561,0.08698741872708156,0.5465510493424725,0.1587804529797565,11.0
tivelo_simple,0.5507221536681809,0.10880524733210886,0.554870441134108,0.2548078083812589,6.0
unitvelo_ind,0.5192739540775462,0.04242483765665228,0.5320733344266555,0.1184738311637673,13.0
unitvelo_uni,0.5718668730699219,0.12293938616223461,0.6571188155502645,0.24716260236574975,3.0
veloae,0.4452504218587593,0.08726915480433636,0.3900395266487491,0.19125834541897427,24.0
velocyto,0.5180684900414867,0.11778069194963033,0.5062086336619276,0.2889883932946331,15.0
velovae_std,0.45324052288390765,0.09604486787565289,0.3664475110099239,0.2298070378934587,22.0
velovae_fullvb,0.44199490694123905,0.08293902924204906,0.344734889848759,0.17750091204303295,25.0
velovi,0.4921999961741605,0.07981558023873969,0.518887509327165,0.20867469917437995,17.0
