Method,EES_mean,EES_rank,mc_mean,mc_rank,expKL_mean,expKL_rank,mc_matches_ees,point_color,Method_display
cell2fate,83.71029872022655,1,136.9467014826445,1,0.6112618837397504,22,True,#38b48b,cell2fate
veloae,70.9179667300867,2,76.79754393811398,2,0.9234405567349233,1,True,#38b48b,VeloAE
velocyto,45.149384786743006,3,75.01723115971964,3,0.60185352203436,24,True,#38b48b,Velocyto
kvelo,36.76496676496772,4,50.44579351938666,5,0.7288014361561919,3,False,#d0af4c,  -velo
scvelo_stc,35.9116031592162,5,58.36106057260273,4,0.6153349991736562,21,False,#d0af4c,scVelo (stc)
tivelo_std,33.23130377660816,6,48.01103140067497,7,0.6921597559376941,8,False,#d0af4c,TIVelo (std)
deepvelo,31.435559479209576,7,49.00080743279975,6,0.6415314588911754,16,False,#d0af4c,DeepVelo
tivelo_simple,29.7987648988309,8,43.70137443386711,8,0.6818724876473874,10,True,#38b48b,TIVelo (simple)
sdevelo,27.281836023076263,9,39.14372824192565,9,0.6969657017456892,6,True,#38b48b,SDEvelo
unitvelo_uni,24.790812888546274,10,38.68487212862937,10,0.6408399853595336,18,True,#38b48b,UniTVelo (uni)
unitvelo_ind,24.675435718762163,11,36.28783804063739,11,0.6799918940094769,11,True,#38b48b,UniTVelo (ind)
velovi,19.821675858959036,12,28.49868229108209,13,0.6955295566476667,7,False,#d0af4c,veloVI
graphvelo_std,19.348501493149726,13,25.86469965397826,14,0.748065964499755,2,False,#d0af4c,GraphVelo (std)
scvelo_dyn,18.907742395047023,14,31.691464687125887,12,0.5966193920575709,25,False,#d0af4c,scVelo (dyn)
dynamo_m1,16.815741979644944,15,23.847722263602922,15,0.7051298985190553,5,True,#38b48b,Dynamo (m1)
sctour_mse,16.308758328493457,16,22.871781601184438,16,0.7130515065625186,4,True,#38b48b,scTour (MSE)
velovae_fullvb,13.90824626773996,17,21.86744010766678,17,0.6360253508989236,19,True,#38b48b,VeloVAE (Full VB)
velovae_std,13.7148957304481,18,20.844400918193305,18,0.6579654548132172,15,True,#38b48b,VeloVAE (std)
latentvelo_std,13.209656603716544,19,19.81392511733758,20,0.6666855015091296,13,False,#d0af4c,LatentVelo (std)
celldancer,13.165998020926088,20,20.781551219732325,19,0.6335426014023833,20,False,#d0af4c,cellDancer
svelvetvae,9.604042483500072,21,15.814455378046036,21,0.6072951773497435,23,True,#38b48b,SvelvetVAE
pyrovelocity_m2,8.529049567428835,22,12.491130521603017,22,0.6828084577835539,9,True,#38b48b,Pyro-Velocity (m2)
sctour_nb,7.354573559203964,23,11.164113225631773,23,0.658769166038064,14,True,#38b48b,scTour (NB)
sctour_zinb,7.2675030032861265,24,10.845787431187484,25,0.670076105529059,12,False,#d0af4c,scTour (ZINB)
pyrovelocity_m1,7.058047107669073,25,11.012785407929712,24,0.6408957267601849,17,False,#d0af4c,Pyro-Velocity (m1)
