cells,velocyto,scvelo_dyn,scvelo_stc,veloae,dynamo_m1,pyrovelocity_m1,pyrovelocity_m2,unitvelo_uni,unitvelo_ind,velovae_std,velovae_fullvb,kvelo,celldancer,velovi,latentvelo_std,sctour_mse,sctour_nb,sctour_zinb,deepvelo,sdevelo,svelvetvae,cell2fate,tivelo_std,tivelo_simple,graphvelo_std
1000,0.08694552630186081,0.410052959765625,0.12942311074584723,0.25955867767333984,0.6332520795986056,1.3515853881835938,1.3515853881835938,0.2466893196105957,0.23317170143127441,0.09040260314941406,0.09049844741821289,0.3396128239110112,0.6516367811709642,0.18108224868774414,0.07657814025878906,0.03729248046875,0.08056306838867187,0.12559938427734374,0.18731024209409952,2.691695213317871,0.14727163314819336,0.9975457191467285,0.3148234169921875,0.33208436982421874,0.24780526943504813
5000,0.4226560685783625,1.9542849560546875,0.6347186295315623,1.2939133644104004,3.060110673308372,1.41129732131958,1.41129732131958,1.0717377662658691,1.0157840251922607,0.2350459098815918,0.2350916862487793,1.6897286176681519,3.207754297181964,0.18108224868774414,0.2465968132019043,0.044036865234375,0.0902843475390625,0.1426944732421875,0.9173062127083539,2.691695213317871,0.654780387878418,1.0445594787597656,2.2240086376953125,2.382787296875,1.8220545900985599
10000,0.8405000120401382,3.880956123046875,1.3573293685913086,2.599458694458008,6.068300425074995,1.4115090370178223,1.4115090370178223,2.0425376892089844,2.0238189697265625,0.41176700592041016,0.41181278228759766,3.375982449389994,6.405038665048778,0.18108224868774414,0.4638175964355469,0.0665268898046875,0.0902843475390625,0.1426944732421875,1.9158612508326767,2.691695213317871,1.235208511352539,1.0805420875549316,7.660723830078125,8.340763458984375,3.2498955512419343
50000,4.188551019877195,19.947064267578124,6.011602917686105,13.271145343780518,30.150241301395,1.4132957458496094,1.4132957458496094,,,0.9612436294555664,0.9612894058227539,16.87058519758284,,0.18108224868774414,2.2532901763916016,0.2536854744140625,0.25385332109375,0.255775928515625,10.257955692708492,2.691695213317871,,,,,60.962976109236486
100000,8.369241066277027,36.99576356445313,12.015254738740623,26.70592737197876,60.232443980872624,,,,,0.9744634628295898,0.9744863510131836,33.736886685714126,,0.18108224868774414,,0.48815155029296875,0.48831939697265625,0.49024200439453125,20.920654244720936,2.691695213317871,,,,,
500000,41.847571373917155,,60.077437713742256,,,,,,,,,,,,,2.35985565234375,2.3600234990234377,2.361956119140625,,,,,,,
1000000,,,,,,,,,,,,,,,,4.6987018583984375,4.698869705078125,4.7007923125,,,,,,,
