Method,0,1,2
velocyto,0.055171512,-0.07523082,0.13495941
scvelo_dyn,0.016440868,0.06776645,-0.011373019
scvelo_stc,0.07317501,-0.012521887,0.15042648
veloae,-0.21028996,-0.17264229,-0.06548394
dynamo_m1,0.18333687,0.08724184,0.15169065
unitvelo_ind,-0.10295453,-0.12967458,0.11836748
unitvelo_uni,0.52414024,0.40713453,0.39984694
velovae_std,-0.2474858,-0.12576878,-0.28687006
velovae_fullvb,-0.2683447,-0.22776227,-0.25133514
deepvelo,-0.05400766,0.10991558,-0.11412221
celldancer,-0.20458655,-0.118912205,-0.039270934
pyrovelocity_m1,-0.13135675,-0.09629103,0.033611774
pyrovelocity_m2,-0.22548647,-0.1900399,-0.10725255
kvelo,-0.0045589386,-0.29223126,-0.063782535
velovi,-0.12734585,-0.12445488,-0.059997797
sdevelo,0.23063478,0.0850657,-0.04937289
cell2fate,0.30284324,0.24496906,0.32311982
svelvetvae,0.088018574,0.074046895,0.09167327
latentvelo_std,0.36182132,0.28666067,0.4097476
tivelo_std,0.30361724,0.16693641,-0.28446978
tivelo_simple,0.22468281,0.106658414,-0.30264112
sctour_mse,0.22120306,0.26812842,0.04590583
sctour_nb,0.09335746,0.104309104,0.1398604
sctour_zinb,0.13429317,0.23075119,0.004830718
graphvelo_std,0.2911755,0.0941713,0.14084145
