Method,0,1,2
velocyto,0.4205620597277802,0.3652854360176609,0.39862929052093177
scvelo_dyn,0.8391762471740629,0.6494194609134902,0.6834502963863087
scvelo_stc,0.4127363748261169,0.4067744400179801,0.3631152035305469
veloae,0.8028496208446748,0.8109331660269227,0.8845202639184739
dynamo_m1,0.7397751732564373,0.7951106440607989,0.7412080840217679
unitvelo_ind,0.8170592652187446,0.8177143189973799,0.8480301450107068
unitvelo_uni,0.7106246520513176,0.6896589475199245,0.5743954418797095
velovae_std,0.7730996024563438,0.7214395888311167,0.7980454902258447
velovae_fullvb,0.8236435996053029,0.7837840344356224,0.7935176286586658
deepvelo,0.875225256718014,0.8554079169809274,0.8700871478400227
celldancer,0.3842890059857132,0.4870295854718492,0.4681029680058447
pyrovelocity_m1,0.7311026913242682,0.3977988304700334,0.7709126310691008
pyrovelocity_m2,0.7909592036875432,0.7761528004198813,0.773159815500079
kvelo,0.6468096567854391,0.34715480532847065,0.5314230974441353
velovi,0.7464465458058795,0.8337935467168229,0.689422986029057
sdevelo,0.7973543623841988,0.7739267873562131,0.8055510422747227
cell2fate,0.7605236776370269,0.848210837177852,0.6085442329583282
svelvetvae,0.6955069071363151,0.5918850317201597,0.798283033777291
latentvelo_std,0.8493263221526742,0.9035662125189342,0.895907675161749
tivelo_std,0.7950621432498365,0.7036582997534835,0.7959613847218197
tivelo_simple,0.6225620205794637,0.5414520877851028,0.6540762647257561
sctour_mse,0.6097035712135085,0.6917536438573718,0.707967932650764
sctour_nb,0.8399522179328542,0.8826610221741602,0.7826388479297576
sctour_zinb,0.897134249899992,0.8970857874737341,0.8370483604510385
graphvelo_std,0.5888496380278323,0.5452495757362785,0.4970319414031005
