Method,SS
velocyto,0.605880937064366
scvelo_dyn,0.5189703509807101
scvelo_stc,0.618126745551085
veloae,0.693045253033355
dynamo_m1,0.5059882237413003
unitvelo_ind,0.822632348109841
unitvelo_uni,0.6165275930356464
velovae_std,0.7848981502600675
velovae_fullvb,0.8221397380334777
deepvelo,0.44636160753309134
celldancer,0.7383367587376303
pyrovelocity_m1,0.5013473672596979
pyrovelocity_m2,0.8123286613209507
kvelo,0.5044266057043355
velovi,0.8222978295459058
sdevelo,0.6703947232769871
cell2fate,0.5833626705028412
svelvetvae,0.36889759095682206
latentvelo_std,0.7680665499129279
tivelo_std,0.7431988941621562
tivelo_simple,0.7506655502095034
sctour_mse,0.28860895880377835
sctour_nb,0.8128964927148972
sctour_zinb,0.8179322062132297
graphvelo_std,0.22647334857415669
