Method,row_mean
velocyto,0.55
scvelo_dy,0.51
scvelo_st,0.46
veloae,0.52
dynamo,-0.03
unitvelo_ind,0.64
unitvelo_uni,0.72
velovae,-0.34
velovae_full,-0.22
deepvelo_gcn,0.45
celldancer,0.39
pyro_model1,-0.29
pyro_model2,0.70
kappa,0.12
velovi,0.19
sdevelo,0.24
cell2fate,0.17
svelvetvae,-0.06
latentvelo_std,-0.17
latentvelo_atac,0.66
tivelo,0.06
tivelo_simple,0.05
sctour_mse,0.63
sctour_nb,0.61
sctour_zinb,0.69
multivelo,0.33
graphvelo,0.36
graphvelo_atac,0.48
