Method,0,1,2,3,4
velocyto,0.20734966,0.32009584,0.28289267,0.14638317,0.13093741
scvelo_dyn,-0.16883098,-0.26094028,-0.31792644,-0.23338464,-0.24606256
scvelo_stc,0.22270375,0.23287252,0.20019132,0.12917113,0.106390595
veloae,0.6255133,0.6458858,0.65535533,0.65166533,0.35483557
dynamo_m1,-0.5233338,-0.5347136,-0.56527996,-0.5625892,-0.563709
unitvelo_ind,0.628263,0.6288208,0.61406094,0.6379068,0.62961876
unitvelo_uni,-0.015601009,-0.025059253,-0.015875325,-0.018836081,-0.016812757
velovae_std,0.5868351,0.615113,0.54703635,0.64262575,0.60655427
velovae_fullvb,0.6201261,0.62091863,0.6422844,0.64022696,0.6309726
deepvelo,0.39240235,0.10291934,-0.24240375,0.047982734,0.120880246
celldancer,0.42876363,0.48185265,0.51145816,0.5312738,0.5271356
pyrovelocity_m1,-0.5875312,-0.614987,-0.6137018,-0.6285703,-0.63108855
pyrovelocity_m2,0.603581,0.6126962,0.64957607,0.6388125,0.635607
kvelo,-0.33850163,-0.17891556,-0.31640655,-0.29502788,-0.25200143
velovi,0.6470509,0.62276214,0.64355916,0.65644306,0.6696199
sdevelo,0.2742707,0.31985962,0.363562,0.38334107,0.43399534
cell2fate,0.61413205,0.5719884,0.11855629,0.7013042,0.705161
svelvetvae,0.43416438,-0.41640073,-0.014600046,0.15707733,-0.039257515
latentvelo_std,0.5535784,0.5659936,0.55955863,0.49202403,0.5704178
tivelo_std,0.6068634,0.57701707,0.5178761,0.49276674,0.4867065
tivelo_simple,0.53502387,0.5066786,0.4830231,0.46662343,0.47197586
sctour_mse,0.61766726,-0.55655867,0.27917698,0.3470959,-0.21851462
sctour_nb,0.6495599,0.67261034,0.6277279,0.6159838,0.62519765
sctour_zinb,0.6552616,0.656237,0.61621875,0.6260137,0.63710326
graphvelo_std,0.5435957,0.38588923,-0.4630104,-0.46516865,-0.4310046
