Method,rank
cell2fate,19.0
celldancer,1.0
deepvelo,8.0
dynamo_m1,15.0
graphvelo_std,24.0
kvelo,20.0
latentvelo_std,15.0
pyrovelocity_m1,23.0
pyrovelocity_m2,2.0
sctour_mse,25.0
sctour_nb,12.0
sctour_zinb,11.0
scvelo_dyn,22.0
scvelo_stc,5.0
sdevelo,3.0
svelvetvae,14.0
tivelo_std,10.0
tivelo_simple,15.0
unitvelo_ind,6.0
unitvelo_uni,4.0
veloae,15.0
velocyto,7.0
velovae_std,13.0
velovae_fullvb,21.0
velovi,8.0
