Method,rank
cell2fate,7.0
celldancer,14.0
deepvelo,12.0
dynamo_m1,4.0
graphvelo_std,19.0
kvelo,11.0
latentvelo_std,23.0
pyrovelocity_m1,17.0
pyrovelocity_m2,18.0
sctour_mse,16.0
sctour_nb,24.0
sctour_zinb,25.0
scvelo_dyn,15.0
scvelo_stc,2.0
sdevelo,5.0
svelvetvae,22.0
tivelo_simple,8.0
tivelo_std,6.0
unitvelo_ind,9.0
unitvelo_uni,10.0
veloae,1.0
velocyto,3.0
velovae_fullvb,21.0
velovae_std,20.0
velovi,13.0
