Method,rank
cell2fate,9.0
celldancer,5.0
deepvelo,10.0
dynamo_m1,12.0
graphvelo_std,19.0
kvelo,4.0
latentvelo_std,18.0
pyrovelocity_m1,7.0
pyrovelocity_m2,2.0
sctour_mse,23.0
sctour_nb,21.0
sctour_zinb,22.0
scvelo_dyn,6.0
scvelo_stc,16.0
sdevelo,1.0
svelvetvae,15.0
tivelo_simple,24.0
tivelo_std,20.0
unitvelo_ind,17.0
unitvelo_uni,11.0
veloae,25.0
velocyto,14.0
velovae_fullvb,8.0
velovae_std,3.0
velovi,13.0
