genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,553.8733319,110.2041016,success
5000,,,running
5000,562.521866,236.4106445,success
10000,,,running
10000,618.2074698,447.2832031,success
15000,,,running
15000,673.0079106,657.5639648,success
20000,,,running
20000,710.250406,867.90625,success
1000,532.3338187,68.12353516,success
