genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,511.2004392,350.894043,success
5000,,,running
5000,282.4251124,855.8911133,success
10000,,,running
10000,447.3965836,1693.03418,success
15000,,,running
15000,653.6559051,2475.101563,success
20000,,,running
20000,901.699314,3307.322754,success
1000,269.2885049,185.4282227,success
