Method,EES_mean,EES_rank,mc_mean,mc_rank,expKL_mean,expKL_rank,mc_matches_ees,point_color,Method_display
cell2fate,106.45912838213717,1,183.11832874206746,1,0.5813679554278309,19,True,#38b48b,cell2fate
dynamo_m1,81.27963842586753,2,113.04443313349951,2,0.7190061126661634,4,True,#38b48b,Dynamo (m1)
veloae,55.388530319205934,3,71.1021968116673,5,0.7789988608357192,1,False,#d0af4c,VeloAE
sdevelo,54.33778974687556,4,74.2789847803876,4,0.7315365161159653,2,True,#38b48b,SDEvelo
velocyto,40.6241680756217,5,81.15070972658854,3,0.5006015130673765,25,False,#d0af4c,Velocyto
scvelo_stc,37.13500054297966,6,70.97000613680791,6,0.5232492226560476,23,True,#38b48b,scVelo (stc)
celldancer,30.688260225779747,7,49.366357657324535,7,0.6216431935044027,14,True,#38b48b,cellDancer
tivelo_std,29.097519476590183,8,47.08831094598457,9,0.6179350860549705,15,False,#d0af4c,TIVelo (std)
kvelo,28.69269700997653,9,45.51569081100954,10,0.6303913331583711,13,False,#d0af4c,  -velo
tivelo_simple,25.203095378731202,10,41.861770029532245,12,0.6020551773360553,17,False,#d0af4c,TIVelo (simple)
unitvelo_ind,24.925896015807766,11,43.37450876364352,11,0.5746669351723156,20,True,#38b48b,UniTVelo (ind)
deepvelo,24.863616394478637,12,47.553240584811306,8,0.5228585074057008,24,False,#d0af4c,DeepVelo
velovi,20.18074777826179,13,34.25812472414002,13,0.5890791729192756,18,True,#38b48b,veloVI
scvelo_dyn,18.374801531953192,14,33.20859765263935,14,0.5533145881121783,22,True,#38b48b,scVelo (dyn)
graphvelo_std,18.113411178088118,15,24.939480204367356,17,0.7262946552878087,3,False,#d0af4c,GraphVelo (std)
unitvelo_uni,17.557975812848735,16,30.675771989990334,15,0.5723727448025756,21,False,#d0af4c,UniTVelo (uni)
sctour_mse,16.916444157112757,17,23.583062446117207,18,0.7173132919341413,5,False,#d0af4c,scTour (MSE)
velovae_fullvb,15.961587367330324,18,25.028089928600817,16,0.6377469240707114,11,False,#d0af4c,VeloVAE (Full VB)
velovae_std,12.306338992852794,19,19.51362826700711,19,0.630653552710127,12,True,#38b48b,VeloVAE (std)
latentvelo_std,12.029075065689925,20,17.883163526552206,21,0.6726480495371882,7,False,#d0af4c,LatentVelo (std)
sctour_nb,11.897715930558403,21,17.06707191417426,22,0.6971152398249,6,False,#d0af4c,scTour (NB)
svelvetvae,11.556150578882724,22,18.023543612179573,20,0.641169729301931,10,False,#d0af4c,SvelvetVAE
pyrovelocity_m2,9.677900655942983,23,14.966979583620592,24,0.6466168141589625,9,False,#d0af4c,Pyro-Velocity (m2)
pyrovelocity_m1,9.265668397412826,24,15.34946765273223,23,0.6036475405558135,16,False,#d0af4c,Pyro-Velocity (m1)
sctour_zinb,9.254119469582045,25,13.81408724787339,25,0.6699045187373253,8,True,#38b48b,scTour (ZINB)
