Method,EES_mean,EES_rank,mc_mean,mc_rank,expKL_mean,expKL_rank,mc_matches_ees,point_color,Method_display,dataset
dynamo_m1,16.815741979644944,15,23.847722263602922,15,0.7051298985190553,5,True,#38b48b,Dynamo (m1),data21
sctour_mse,16.308758328493457,16,22.871781601184438,16,0.7130515065625186,4,True,#38b48b,scTour (MSE),data21
velovae_fullvb,13.90824626773996,17,21.86744010766678,17,0.6360253508989236,19,True,#38b48b,VeloVAE (Full VB),data21
velovae_std,13.7148957304481,18,20.844400918193305,18,0.6579654548132172,15,True,#38b48b,VeloVAE (std),data21
latentvelo_std,13.209656603716544,19,19.81392511733758,20,0.6666855015091296,13,False,#d0af4c,LatentVelo (std),data21
celldancer,13.165998020926088,20,20.781551219732325,19,0.6335426014023833,20,False,#d0af4c,cellDancer,data21
svelvetvae,9.604042483500072,21,15.814455378046036,21,0.6072951773497435,23,True,#38b48b,SvelvetVAE,data21
pyrovelocity_m2,8.529049567428835,22,12.491130521603017,22,0.6828084577835539,9,True,#38b48b,Pyro-Velocity (m2),data21
sctour_nb,7.354573559203964,23,11.164113225631773,23,0.658769166038064,14,True,#38b48b,scTour (NB),data21
sctour_zinb,7.2675030032861265,24,10.845787431187484,25,0.670076105529059,12,False,#d0af4c,scTour (ZINB),data21
pyrovelocity_m1,7.058047107669073,25,11.012785407929712,24,0.6408957267601849,17,False,#d0af4c,Pyro-Velocity (m1),data21
