Method,0,1,2
velocyto,0.33853287,0.33244422,0.18306778
scvelo_dyn,0.2866793,0.24048111,0.26642963
scvelo_stc,0.3387454,0.33238238,0.19610488
veloae,0.12973161,0.06380573,0.041012462
dynamo_m1,0.33743274,0.31448042,0.36231253
unitvelo_ind,0.14426477,0.14432919,0.14342555
unitvelo_uni,0.22122389,0.21841398,0.255218
velovae_std,0.353718,0.3348927,0.3578863
velovae_fullvb,0.34636465,0.2755506,0.3709913
deepvelo,0.27195275,0.27771682,0.24293654
celldancer,0.29302388,0.277724,0.2897994
pyrovelocity_m1,0.47065097,0.4794158,0.20915435
pyrovelocity_m2,0.27272403,0.23887211,0.2877612
kvelo,0.27940705,0.24339317,0.30013055
velovi,0.27022633,0.20798284,0.20699182
sdevelo,0.43198368,0.41134673,0.44614536
cell2fate,0.25399673,0.17774981,0.2658755
svelvetvae,0.25653383,0.18603371,0.18565556
latentvelo_std,0.20317604,0.18820533,0.15146874
tivelo_std,0.16836958,0.17148954,0.1503338
tivelo_simple,0.07025838,0.07634534,0.06288325
sctour_mse,0.029550228,0.054989487,0.044104356
sctour_nb,0.10060945,0.1222829,0.08855291
sctour_zinb,0.10687181,0.09541588,0.104471646
graphvelo_std,0.18422858,0.1721474,0.16068843
