Method,SS
velocyto,0.875722099584495
scvelo_dyn,0.47303358067037377
scvelo_stc,0.8570788040363627
veloae,0.6348240761221793
dynamo_m1,0.41050783276313285
unitvelo_ind,0.6170286139609437
unitvelo_uni,0.4167333186203423
velovae_std,0.5031281768275367
velovae_fullvb,0.46933334158295703
deepvelo,0.8863559652019464
celldancer,0.8322054806722022
pyrovelocity_m1,0.5284807325929912
pyrovelocity_m2,0.7390516551095357
kvelo,0.8431232275849847
velovi,0.721196358258007
sdevelo,0.6076228094373386
cell2fate,0.5902684559390362
svelvetvae,0.7115633509081356
latentvelo_std,0.1655334864027448
tivelo_std,0.8591688823826445
tivelo_simple,0.8608458699949935
sctour_mse,0.292129859533499
sctour_nb,0.5192348571919548
sctour_zinb,0.5083945900298434
graphvelo_std,0.2943903258296811
