Method,rank
cell2fate,1
veloae,2
velocyto,3
scvelo_stc,4
tivelo_std,5
tivelo_simple,6
dynamo_m1,7
sdevelo,8
kvelo,9
deepvelo,10
unitvelo_ind,11
unitvelo_uni,11
sctour_mse,13
velovi,14
scvelo_dyn,15
celldancer,16
graphvelo_std,17
velovae_std,18
latentvelo_std,19
velovae_fullvb,20
svelvetvae,21
sctour_nb,22
sctour_zinb,23
pyrovelocity_m2,24
pyrovelocity_m1,25
