Method,rank
sdevelo,1
pyrovelocity_m2,2
velovae_std,3
kvelo,4
celldancer,5
scvelo_dyn,6
pyrovelocity_m1,7
velovae_fullvb,8
cell2fate,9
deepvelo,10
unitvelo_uni,11
dynamo_m1,12
velovi,13
velocyto,14
svelvetvae,15
scvelo_stc,16
unitvelo_ind,17
latentvelo_std,18
graphvelo_std,19
tivelo_std,20
sctour_nb,21
sctour_zinb,22
sctour_mse,23
tivelo_simple,24
veloae,25
