Method,SS
velocyto,0.6868605239558931
scvelo_dyn,0.6854731234467952
scvelo_stc,0.6616969020916298
veloae,0.6639479974187861
dynamo_m1,0.6116245342024385
unitvelo_ind,0.7299713410029944
unitvelo_uni,0.4973329400661592
velovae_std,0.5481396284870403
velovae_fullvb,0.5912558083937742
deepvelo,0.4835196892675244
celldancer,0.5834784346989996
pyrovelocity_m1,0.3569386737960366
pyrovelocity_m2,0.7461009876081931
kvelo,0.6590919513947253
velovi,0.743538136122037
sdevelo,0.4508360727228079
cell2fate,0.20191096719297483
svelvetvae,0.41924305604764156
latentvelo_std,0.400512439344525
tivelo_std,0.7456886665426905
tivelo_simple,0.728321233739214
graphvelo_std,0.6929906123086043
