genes,velocyto,scvelo_dyn,scvelo_stc,veloae,dynamo_m1,pyrovelocity_m1,pyrovelocity_m2,unitvelo_uni,unitvelo_ind,velovae_std,velovae_fullvb,kvelo,celldancer,velovi,latentvelo_std,sctour_mse,sctour_nb,sctour_zinb,deepvelo,sdevelo,svelvetvae,cell2fate,tivelo_std,tivelo_simple,graphvelo_std
1000,0.0016874504066666668,0.10425152327777779,0.003144394152777778,0.2878008066666667,0.08718295602777777,0.13757657619444444,0.13239823655555555,0.1951341086388889,0.7175939597222223,0.2595964229166667,0.2626841438611111,0.4885251163888889,0.6060269041666667,0.07480236247222223,0.7210890872222221,0.14787050519444447,0.1546408175,0.15747111741666667,0.12878024369444444,0.1515576128888889,0.06705580619444444,0.6434017136111111,0.12476864375,0.11109926088888887,0.42222694777777775
2000,0.0013302580730555557,0.12992101969444445,0.003435390316666667,0.27945444388888885,0.13909108255555552,0.18163570533333334,0.18561565558333332,0.39196710777777777,1.9200355305555556,0.3185631966666667,0.3820024113888889,1.9391339183333334,0.705690405,0.14200012199999998,0.7240834955555556,0.15385370330555556,0.16810178188888888,0.1712071879722222,0.16503271636111108,0.1991280573333333,0.06118525952777778,0.6547011422222223,0.10618074599999999,0.09728826647222223,0.4887904766666667
5000,0.0024585251916666665,0.24232620069444444,0.0071273915,0.34717671972222225,0.15977250088888886,0.49545762250000003,0.49279542499999995,0.3223888308333333,2.0958210477777777,0.37048761444444445,3.3124244472222224,7.276465369444444,2.3154479277777775,0.0784514201111111,1.7761602827777778,0.1562560738888889,0.15933621736111112,0.17842492950000002,0.2886244480555556,0.201837474,0.14129161919444444,,0.26520971405555555,0.22827219936111112,1.974689843888889
10000,0.005231491666666667,0.6472921111111112,0.013276977958333332,0.45796367444444447,0.2060107191111111,,,0.33160968166666666,2.4549950680555552,0.7781581119444445,0.9544929866666666,16.994049480555557,,0.12427682877777778,5.011047105555556,0.17172429716666668,0.12966057977777778,0.19801007194444448,0.4874284788888889,0.2059288,0.2820129522222222,,0.48487908194444446,0.41130699611111105,
15000,0.007044891630555555,0.9897923963888888,0.01989765954722222,0.5750095297222223,0.24620967319444445,,,0.4115112430555556,2.5243819997222223,1.199736147777778,1.3042911336111112,,,0.18157108475,,0.18694664183333332,0.20727809519444443,0.22121380777777774,0.7298253272222223,0.20820806725,0.41939738805555554,,0.7472946288888889,0.6305749125,
20000,0.008631849077777778,,0.025244089102777777,0.6812035613888889,0.29608115777777777,,,0.41570117194444445,2.3858113941666663,1.5156604274999999,9.65721084722222,,,0.25047203166666665,,0.19729177944444445,0.22917233325,0.2431574831388889,0.9372990466666667,0.21376872305555555,0.5516654933333334,,1.0095462705555556,0.868834358611111,
