genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,6912.12791,3431.749023,success
5000,,,running
5000,7544.955772,3431.749023,success
10000,,,running
10000,8837.982245,3431.749023,success
15000,,,running
15000,9087.775199,3431.749023,success
20000,,,running
20000,8588.921019,3431.749023,success
1000,2583.338255,2072.390625,success
