genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,594.1177789,3547.528466,success
5000,,,running
5000,1039.048013,8304.587331,success
10000,,,running
10000,1754.742524,16236.37218,success
15000,,,running
15000,2627.371178,24172.70918,success
20000,,,running
20000,3374.276568,32111.01005,success
1000,463.6088773,1961.841921,success
