genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,12.36740514,2808.377064,success
5000,,,running
5000,25.6586094,6434.989129,success
10000,,,running
10000,47.79712065,12860.2341,success
15000,,,running
15000,71.63157437,19285.59315,success
20000,,,running
20000,90.87872077,25710.67791,success
1000,11.31981895,1389.905273,success
