genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,605.1664148,164.4785156,success
5000,,,running
5000,573.6103825,392.2792969,success
10000,,,running
10000,466.7780872,766.6303711,success
15000,,,running
15000,746.2011427,1117.075195,success
20000,,,running
20000,825.0203997,1483.92627,success
1000,556.706943,92.45117188,success
