Method,0,1,2
velocyto,0.2252569,0.20751445,0.21432918
scvelo_dyn,0.38647312,0.28150567,0.19085628
scvelo_stc,0.16085842,0.1890184,0.19285686
veloae,0.011255754,-0.3494787,-0.13288544
dynamo_m1,0.19583699,0.24706954,0.2122682
unitvelo_ind,0.39943615,0.45304617,0.42198315
unitvelo_uni,0.08728333,0.30564985,0.18467396
velovae_std,0.16605726,0.30700243,-0.031444192
velovae_fullvb,0.11779968,-0.077047445,0.10009242
deepvelo,0.36068398,0.5008671,0.44009912
celldancer,0.0434151,0.12535585,0.04048961
pyrovelocity_m1,0.36592603,0.4353643,0.44916523
pyrovelocity_m2,0.22159973,0.32306033,0.32998246
kvelo,-0.01524521,0.29594266,0.17609337
velovi,0.07285373,-0.01610737,-0.2083623
sdevelo,-0.089297414,0.055346146,0.09575866
cell2fate,-0.094031975,-0.197102,-0.1947163
svelvetvae,0.07363264,-0.043583825,-0.08240764
latentvelo_std,0.36406922,0.08952649,0.3407699
latentvelo_atac,-0.2957293,-0.002274081,-0.1704975
tivelo_std,0.2565201,0.45290637,0.510737
tivelo_simple,0.23663723,0.42219043,0.41614908
sctour_mse,0.19986446,-0.3997347,0.363573
sctour_nb,0.24960536,0.4263925,0.40188026
sctour_zinb,0.22453018,0.34950554,0.34505045
multivelo,-0.05227774,0.2450283,-0.22681189
graphvelo_std,0.2276214,0.36144605,0.3193629
graphvelo_atac,0.44543275,0.47655767,0.19816042
