Method,0,1,2
velocyto,0.8014863222575364,0.7932638464385287,0.7858534137078583
scvelo_dyn,0.8168890803597484,0.8584405856514248,0.8512423915997409
scvelo_stc,0.8587241247285333,0.855603898592564,0.8285885393459298
veloae,0.8346743888380094,0.6861191328379833,0.7184990031346457
dynamo_m1,0.7222230478242552,0.7349177247000829,0.5818812686720584
unitvelo_ind,0.8871868788764516,0.9060514009224432,0.9112691150203821
unitvelo_uni,0.9266089019329222,0.9183249559931194,0.9292447475298629
velovae_std,0.7080582851840315,0.593526468758481,0.7751298165679801
velovae_fullvb,0.8904814980749896,0.9151156552715891,0.9168945415199217
deepvelo,0.7985635326278393,0.7615309590545927,0.7733482901257769
celldancer,0.26493480894738053,0.2962535170595184,0.35460363128132916
pyrovelocity_m1,0.8420715859377279,0.8259872346665813,0.8381216139934944
pyrovelocity_m2,0.8175420652692761,0.8916685618340636,0.8496520415958989
kvelo,0.532153038197671,0.5830428934218266,0.3726307349695678
velovi,0.801802632341435,0.8175618185963843,0.8906764328204898
sdevelo,0.7628207624427912,0.83139263904271,0.8160961995022672
cell2fate,0.767620702629377,0.7119297964384742,0.7791297422911061
svelvetvae,0.8430009872469028,0.7945369570176599,0.8082047170889839
latentvelo_std,0.8894607686353406,0.917580618048693,0.9113384313521937
tivelo_std,0.7377005093959618,0.7312362479574082,0.7574521964466682
tivelo_simple,0.6478944476085803,0.6739314603423472,0.6537717525770123
sctour_mse,0.93096234654762,0.9237684877330741,0.8674831080340619
sctour_nb,0.9404101498254754,0.9019918307055255,0.8935803848679589
sctour_zinb,0.9082145552719534,0.9082382558379467,0.8523340237436559
graphvelo_std,0.7537548429190436,0.7984558046897161,0.5268755209547168
