Method,0,1
velocyto,0.733427954639512,0.5759817960095038
scvelo_dyn,0.7473496839721356,0.8170544054613795
scvelo_stc,0.7219104153650315,0.6536613355275167
veloae,0.780767595419954,0.7775509392109762
dynamo_m1,0.7091410089617589,0.6015145968462388
unitvelo_ind,0.7338059054410622,0.5962816958202948
unitvelo_uni,0.8703044044952273,0.8057168285540567
velovae_std,0.8062651392882518,0.7656383988532341
velovae_fullvb,0.8274985648934277,0.8092199497515814
deepvelo,0.7527355029817545,0.7699190206176655
celldancer,0.7498257117720863,0.6936568116649188
pyrovelocity_m1,0.7639577954474882,0.7328073152957063
pyrovelocity_m2,0.7605948857072519,0.6653015826317492
kvelo,0.6363354870934065,0.6135911542182839
velovi,0.8215479911128537,0.770959990302033
sdevelo,0.5866748730935109,0.7627580150952228
cell2fate,0.46588551805472905,0.563855345298538
svelvetvae,0.7568315606317558,0.691944214572527
latentvelo_std,0.8498302184670308,0.7942607551688236
tivelo_std,0.5864810562792606,0.6739094048936222
tivelo_simple,0.5155376531532772,0.5974548333837765
sctour_mse,0.5490751674337393,0.8066346510348881
sctour_nb,0.7625588048719237,0.7262693586190189
sctour_zinb,0.7894814190097627,0.7643874851259213
graphvelo_std,0.6554818713276127,0.5886629160115582
