Method,SS
velocyto,0.5656566077399704
scvelo_dyn,0.5232952155814874
scvelo_stc,0.5561078212989565
veloae,0.3701211421384448
dynamo_m1,0.5548402248966235
unitvelo_ind,0.5624584426462148
unitvelo_uni,0.538418365466345
velovae_std,0.6233866412986016
velovae_fullvb,0.47266084063007263
deepvelo,0.5433287639896902
celldancer,0.61150563288923
pyrovelocity_m1,0.3671475435594087
pyrovelocity_m2,0.5430648928013702
kvelo,0.5620986170141459
velovi,0.5397189741769811
sdevelo,0.48044525433892304
cell2fate,0.46035779718649
svelvetvae,0.5246041549677524
latentvelo_std,0.521833025862118
tivelo_std,0.42878597021168874
tivelo_simple,0.40820099308213015
sctour_mse,0.492044974124627
sctour_nb,0.4840427118707253
sctour_zinb,0.47797918393573335
graphvelo_std,0.562868497745853
