Method,rank
cell2fate,16.0
celldancer,6.0
deepvelo,5.0
dynamo_m1,13.0
graphvelo_std,24.0
kvelo,19.0
latentvelo_std,17.0
pyrovelocity_m1,21.0
pyrovelocity_m2,7.0
sctour_mse,25.0
sctour_nb,22.0
sctour_zinb,15.0
scvelo_dyn,23.0
scvelo_stc,4.0
sdevelo,2.0
svelvetvae,12.0
tivelo_simple,14.0
tivelo_std,10.0
unitvelo_ind,9.0
unitvelo_uni,1.0
veloae,11.0
velocyto,3.0
velovae_fullvb,17.0
velovae_std,19.0
velovi,7.0
