genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,382.2506856,10152.82722,success
5000,,,running
5000,954.7549706,14503.94439,success
10000,,,running
10000,1745.564695,28601.95606,success
15000,,,running
15000,2690.260664,32558.14177,success
20000,,,running
20000,3634.366574,41579.84851,success
1000,449.1671175,7844.581202,success
