genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,1411.081588,3600.416504,success
5000,,,running
5000,1160.599791,3573.622559,success
10000,,,running
10000,1193.794854,3618.591309,success
15000,,,running
15000,1481.440475,3604.22876,success
20000,,,running
20000,1496.524219,3608.105957,success
1000,702.4827911,2091.558594,success
