genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,1375.208681,828.71875,success
5000,,,running
5000,11924.72801,2018.175781,success
10000,,,running
10000,3436.174752,4020.709961,success
15000,,,running
15000,4695.448081,6009.27832,success
20000,,,running
20000,34765.95905,8001.302734,success
1000,945.6629179,421.6962891,success
