genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,220.2669343,2451.127441,success
5000,,,running
5000,508.6498291,6009.743652,success
10000,,,running
10000,1015.246628,11959.2832,success
15000,,,running
15000,1509.830597,17876.00391,success
20000,,,running
20000,1985.995776,23809.42432,success
1000,241.4009023,1264.853516,success
