genes,execution_time_sec,peak_memory_mb,status
2000,,,running
2000,668.2163601,2870.594727,success
5000,,,running
5000,1774.06353,7051.348145,success
10000,,,running
10000,2646.131183,,error
1000,476.6336516,1445.385254,success
